,VIN,brand,model,trim,manufacture_year,mileage,MPG_city,MPG_highway,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,location,price
1894, 1GCWGAFG0L1178974,Chevrolet,"['Express', 'Cargo', 'Van']",2500 SWB,2020,"33,614",,, Automatic, RWD,Gas,White,Black,0,1, Fleet use,"Doral, FL","42,899"
1895, 1GNSKBKC1KR189317,Chevrolet,['Tahoe'],LT 4WD,2019,"92,388",15,21, Automatic, 4WD,Gas,Black,Black,0,2, Personal use,"Birmingham, AL","32,966"
1896, 5UXCR6C5XKLK89949,BMW,['X5'],xDrive40i,2019,"33,585",20,26, Automatic, AWD,Gas,White,Black,0,1, Personal use,"Bel Air, MD","50,998"
1897, 3FA6P0HD4KR228752,Ford,['Fusion'],SE FWD,2019,"76,121",23,34, Automatic, FWD,Gas,Black,Unknown,0,2, Fleet use,"Peru, IL","19,998"
1898, WBA5R7C57KFH15398,BMW,"['3', 'Series']",330i xDrive Sedan,2019,"52,564",,,,,,Black,Black,0,1, Personal use,"Freeport, NY","33,990"
1899, 5TDJZRFH2KS571369,Toyota,['Highlander'],XLE V6 AWD,2019,"48,987",20,26, Automatic, AWD,Gas,Gray,Black,1,1, Personal use,"Colorado Springs, CO","35,711"
1900, 1HGCS1B32CA012977,Honda,['Accord'],LX-S Coupe I4 Automatic,2012,"73,825",22,33, Automatic, FWD,Gas,Silver,Black,1,2, Personal use,"Starke, FL","13,999"
1901, 1G1ZC5ST6JF155694,Chevrolet,['Malibu'],LS with 1FL,2018,"31,738",27,36, Automatic, FWD,Gas,White,Gray,0,1, Fleet use,"Alcoa, TN","20,998"
1902, 1C4NJPFA3ED731758,Jeep,['Patriot'],High Altitude FWD,2014,"73,684",22,27, Automatic, FWD,Gas,Red,Gray,1,3, Personal use,"Corpus Christi, TX","14,000"
1903, 3GNKBCRS9LS585965,Chevrolet,['Blazer'],2LT FWD,2020,"61,365",21,28, Automatic, FWD,Gas,Black,Black,0,1, Fleet use,"Phoenix, AZ","28,590"
1904, KNMAT2MV1JP584026,Nissan,['Rogue'],SV AWD,2018,"71,685",25,32, Automatic, AWD,Gas,Black,Black,0,2, Fleet use,"Nevada, MO","19,990"
1905, 1V2UR2CA3KC536416,Volkswagen,['Atlas'],V6 SE with Technology 3.6L 4MOTION,2019,"40,009",17,23, Automatic, AWD,Gas,Silver,Black,2,1, Personal use,"Alvin, TX","33,000"
1906, 3GNCJNSB6KL266528,Chevrolet,['Trax'],LS AWD,2019,"30,833",24,29, Automatic, AWD,Gas,Blue,Black,0,1, Personal use,"Fort Worth, TX","20,825"
1907, KM8R5DHE0LU050602,Hyundai,['Palisade'],Limited AWD,2020,"33,675",19,24, Automatic, AWD,Gas,White,Beige,0,1, Personal use,"Ontario, CA","47,000"
1908, WBA8A3C55JA357952,BMW,"['3', 'Series']",320i xDrive Sedan,2018,"38,086",,,,,,Black,Black,0,2, Personal use,"Tracy, CA","28,726"
1909, 1C4RDJAG1HC725467,Dodge,['Durango'],SXT AWD,2017,"78,567",18,25, Automatic, AWD,Gas,Gray,Black,0,2, Personal use,"Saint Augustine, FL","24,988"
1910, 1GNERGKW3LJ161678,Chevrolet,['Traverse'],LT Cloth with 1LT FWD,2020,"71,451",18,27, Automatic, FWD,Gas,White,Black,0,1, Fleet use,"Hudson Oaks, TX","29,590"
1911, 5N1AT2MV7JC709341,Nissan,['Rogue'],SV AWD,2018,"47,814",25,32, Automatic, AWD,Gas,Red,Black,2,2, Fleet use,"Sheridan, IN","24,425"
1912, 3PCAJ5M35KF108377,INFINITI,['QX50'],ESSENTIAL AWD,2019,"49,225",24,30, Automatic, AWD,Gas,Black,Gray,0,1, Personal use,"Las Vegas, NV","33,500"
1913, WBAVM1C51EVW53192,BMW,['X1'],sDrive28i RWD,2014,"53,769",23,34, Automatic, RWD,Gas,Gray,Black,0,2, Personal use,"Midwest City, OK","17,030"
